symbol,hip3_notional_volume_usd,hip3_short_funding_90d_pct,ibkr_gross_borrow_cost_90d_pct,ibkr_rebate_proxy_90d_pct,hip3_minus_ibkr_rebate_proxy_90d_pct,hip3_positive_funding_hours_pct
AAPL,541035108.70,-0.0791306200,0.0687475000,0.8381691667,-0.9172997867,68.1018518519
AMD,1239279423.37,2.3623278500,0.0777108333,0.8292075000,1.5331203500,81.6203703704
AMZN,561155191.36,2.5768547400,0.0769952778,0.8299230556,1.7469316844,90.1851851852
BABA,185359601.75,2.8448710900,0.0718097222,0.8351069444,2.0097641456,87.2685185185
COIN,620899185.11,1.2928458000,0.0657580556,0.8411591667,0.4516866333,82.9166666667
COST,28994108.64,4.4106939000,0.0643466667,0.8425702778,3.5681236222,67.4537037037
CRCL,2066511868.28,2.9775373000,0.0732502778,0.8336677778,2.1438695222,86.6203703704
CRWV,482242159.45,5.4265137500,0.0735472222,0.8333694444,4.5931443056,82.8240740741
DKNG,15810317.98,2.5439423200,0.0811077778,0.8258119444,1.7181303756,62.3148148148
EWJ,60777251.57,-1.3210664600,0.2852850000,0.6216338889,-1.9427003489,65.4629629630
EWY,1352257987.31,0.6286754400,0.1444327778,0.7624838889,-0.1338084489,71.8981481481
GOOGL,1076045014.40,2.4306286800,0.0717505556,0.8351680556,1.5954606244,89.2592592593
HIMS,290826558.77,9.6797929600,0.1542166667,0.7527002778,8.9270926822,78.9814814815
HOOD,772902746.18,2.8024296200,0.0838705556,0.8230475000,1.9793821200,88.8425925926
INTC,3442110329.51,2.6894024100,0.0834691667,0.8234491667,1.8659532433,85.5555555556
LLY,105499676.55,6.2079980700,0.0708902778,0.8360263889,5.3719716811,78.5648148148
META,602638185.48,2.4210070500,0.0771066667,0.8298100000,1.5911970500,89.5833333333
MSFT,811068751.75,2.5048059800,0.0677877778,0.8391300000,1.6656759800,90.6018518519
MSTR,1278117163.74,0.7325753700,0.0708611111,0.8360561111,-0.1034807411,70.0462962963
MU,10462749967.36,4.0052642800,0.0702586111,0.8366580556,3.1686062244,88.1018518519
NFLX,89970916.42,1.5962489400,0.0782863889,0.8286325000,0.7676164400,85.3240740741
NVDA,3919409551.69,2.8634477300,0.0695116667,0.8374061111,2.0260416189,90.4166666667
ORCL,811267568.46,2.8709384600,0.0813955556,0.8255225000,2.0454159600,86.0185185185
PLTR,550098982.38,2.1515475100,0.0760486111,0.8308686111,1.3206788989,89.9074074074
RIVN,66196629.94,4.6908141700,0.0663877778,0.8405288889,3.8502852811,79.2592592593
SNDK,6334495334.82,0.9205375200,0.0712408333,0.8356766667,0.0848608533,70.1851851852
TSLA,1885694552.74,0.8729296100,0.0734352778,0.8334816667,0.0394479433,75.6018518519
TSM,359236354.15,0.5559501600,0.0713402778,0.8355775000,-0.2796273400,73.1018518519
URNM,39772191.64,5.6481500100,0.0957169444,0.8112000000,4.8369500100,64.9537037037
USAR,133280369.43,2.8744986300,0.1117688889,0.7951477778,2.0793508522,75.5092592593
